Beauty	optgroup

bath-and-shower-products	1

    baby-bathing-products	2
        baby-bathing-aromatherapy-products	3
        baby-bathing-body-washes	4
        baby-bathing-cleansing-lotions	5
        baby-bathing-foams	6
        baby-bathing-hypoallergenic-cleansers	7
        baby-bathing-moisturizing-products	8
        baby-bathing-no-rinse-cleansing-fluids	9

    bath-and-shower-product-sets	10

    bath-products	11
        bath-bombs	12
        bath-minerals-and-salts	13
        bath-oils	14
        bath-pearls-and-flakes	15
        bathtub-teas	16
        bubble-baths	17

    body-cleansers	18
        bath-and-shower-gels	19
        bath-soaps	20
        facial-soaps	21
        hand-soaps	22

    body-scrubs-and-treatments	23

        body-mousses	24
        body-muds	25
        body-scrubs	26
        body-souffles	27

bathing-accessories	28
    bath-brushes	29
    bath-loofahs	30
    bath-mitts-and-cloths	31
    bath-pillows	32
    bath-poufs	33
    bath-sponges	34
    bath-trays	35
    bathing-accessory-sets	36
    cooling-eye-masks	37
    shower-caps	38

beauty-tools-and-accessories	39
    cotton-balls	40
    cotton-swabs	41

    eyelash-tools	42
        eyelash-curlers	43
        fake-eyelashes-and-adhesives	44

    facial-steamers	45

    hair-coloring-tools	46
        hair-color-applicator-bottles	47
        hair-color-caps	48
        hair-color-foils	49
        hair-color-mixing-bowls	50
        hair-color-removers	51
        hair-color-wraps	52
        hair-coloring-brushes-and-combs	53
        hair-coloring-needles	54

    hair-permanent-accessories	55
        hair-permanent-end-papers	56
        hair-permanent-rollers	57

    hair-styling-products	58
        hair-braiders	59
        hair-brushes	60
        hair-combs	61
        hair-dryer-diffusers	62

        hair-dryers	63
            ionizing-hair-dryers	64
            portable-salon-dryers	65
            travel-hair-dryers	66
            volumizing-hair-dryers	67
            wall-mounted-hair-dryers	68

        hair-drying-towels	69
        hair-rollers	70

        hair-styling-accessories	71
            decorative-hair-combs	72
            fashion-headbands	73
            hair-barrettes	74
            hair-claws	75
            hair-clips	76
            hair-jewels	77
            hair-pins	78
            hair-sticks	79
            ponytail-holders	80

        hair-styling-irons	81
            crimping-irons	82
            curling-irons	83
            flattening-irons	84

        hair-styling-product-accessories	85
        hair-styling-product-sets	86
        hair-styling-sets-and-kits	87
        hot-air-brushes	88

    makeup-applicators	89
        makeup-puffs	90
        makeup-sponges	91
        makeup-wedges	92

    makeup-bags-and-cases	93
        cosmetic-bags	94
        cosmetic-tote-bags	95
        makeup-brush-bags	96
        makeup-train-cases	97
        makeup-travel-cases-and-holders	98
        refillable-cosmetic-containers	99

    makeup-blotting-papers	100
    makeup-brush-cleaners	101
    makeup-brushes	102

        brow-brushes	103
        cheek-brushes	104
        eye-brushes	105

        face-brushes	106
            blending-brushes	107
            camouflage-brushes	108
            concealer-brushes	109
            contour-brushes	110
            fading-brushes	111
            fan-brushes	112
            foundation-brushes	113

            powder-brushes	114
                kabuki-powder-brushes	115

        lash-brushes	116
        lip-brushes	117
        makeup-brush-sets	118

    makeup-gloves	119
    makeup-sharpeners	120
    makeup-tool-sets-and-kits	121
    makeup-treatment-tools	122

        blemish-tools	123
        cleansing-face-brushes	124

    manicure-tools	125
        cuticle-nippers	126
        cuticle-pushers	127
        cuticle-scissors	128
        false-nails	129
        fingernail-clippers	130
        manicure-kits	131
        nail-art-equipment	132
        nail-brushes	133
        nail-dryers	134
        nail-files-and-buffers	135
        nail-scissors	136

    nail-care-product-sets	137

        nail-care-product-gift-sets	138
        pedicure-kits	139

    pedicure-tools	140
        callus-shavers	141
        callus-stones	142
        foot-rasps	143
        spa-slippers	144
        toe-separators	145
        toenail-clippers	146

    perfume-atomizers-empty	147
    perfume-bottles-empty	148
    tweezers	149

body-piercing-products	150
foot-care-products	151

    electric-foot-massagers	152
    foot-bath-salts	153
    foot-creams	154
    foot-lotions	155
    foot-oils	156
    foot-powders	157
    foot-scrubs	158
    foot-soaks	159
    foot-sprays	160
    foot-swabs	161
    liquid-foot-care-products	162
    moisturizing-socks	163
    paraffin-baths	164

hair-care-products	165
    hair-care-product-sets	166
    hair-coloring-products	167

        chemical-hair-dyes	168
        hair-color-correctors	169
        hair-color-primers	170
        hair-color-refreshers	171
        hair-hennas	172
        hair-highlighting-products	173

    hair-conditioners-and-treatments	174
        hair-and-scalp-treatments	175
