link	title	description	expiration_date	price	image_link	label	id	mpn	gtin	availability	brand	condition	shipping	tax
http://dev.cartstore.com/-p-997.html	Product with attributes (no stock control on attr.)	 #newtab#  #tabname#Description#/tabname#  #tabtext#This is the text that will appear in the tab named description#/tabtext#  #/newtab#  #newtab#  #tabname#Specs#/tabname#  #tabtext#This is the text that will appear in the tab named Specs#/tabtext#  #/newtab#	2013-05-05	99.00	http://tirecovers.com/catalog/images/560000061ext3.jpg		997	99959768976438783		in stock 	 BSI Products 	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-998.html	Test Product with quanity pricing	 Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry&#39;s standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.	2013-05-05	99.00	http://tirecovers.com/catalog/images/cartstore_oscommerce_left.jpg		998	99954546445438783		in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-999.html	Test Product Special	 Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of &quot;de Finibus Bonorum et Malorum&quot; (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, &quot;Lorem ipsum dolor sit amet..&quot;, comes from a line in section 1.10.32.	2013-05-05	999.00	http://tirecovers.com/catalog/images/cartstore_oscommerce_left.jpg		999	XXXBC184564	232435454567	in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1000.html	Sample Product with MAP Pricing	 Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.	2013-05-05	99.00	http://tirecovers.com/catalog/images/wagons-beepbeepzoom.jpg		1000	999545464454383443		in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1001.html	Product with product extra fields	 Lorem ipsum is just dummy text.	2013-05-05	79.00	http://tirecovers.com/catalog/images/43459304.jpg		1001	XXXBC156434		in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1002.html	Product with no price added		2013-05-05	0.00	http://tirecovers.com/catalog/images/cartstore_oscommerce_left.jpg		1002	XXXBERTr18473		in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1003.html	Product with no image		2013-05-05	122.00	http://tirecovers.com/catalog/images/		1003	XWWXBERTr18473		in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1004.html	Product with year make model varibles		2013-05-05	111.00	http://tirecovers.com/catalog/images/		1004	XXXRREC156434		in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1005.html	Product with individual shipping		2013-05-05	99.00	http://tirecovers.com/catalog/images/cartstore_oscommerce_left.jpg		1005			in stock 	  	 New 	 :::55 USD	::0: 
http://dev.cartstore.com/-p-1006.html	Product with average ship to / processingdays defined		2013-05-05	0.00	http://tirecovers.com/catalog/images/little-red-wagon.jpg		1006			in stock 	 CustomGrafixTireCovers ™ 	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1007.html	Product with download attached		2013-05-05	9.95	http://tirecovers.com/catalog/images/560000061ext3.jpg		1007	XWWEEXBERTr18473	232DDDD5454567	in stock 	  	 New 	 :::0 USD	::0: 
http://dev.cartstore.com/-p-1008.html	Cal Test		2013-05-05	450.00	http://tirecovers.com/catalog/images/		1008	fgggdgd		in stock 	  	 New 	 :::0 USD	::0: 
