Art & Craft Supplies	optgroup

arts-and-crafts-supplies	1
    art-drawing-supplies	2

        artist-supply-erasers	3
            airbrush-erasers	4
            art-gum-erasers	5
            charcoal-pastel-erasers	6
            ink-erasers	7
            pencil-erasers	8
            rubber-art-erasers	9

        artists-blenders	10

        artists-drawing-aids	11
            artists-bridges	12
            artists-compasses	13
            erasing-shields	14
            geometric-stencils	15
            lettering-stencils	16
            proportion-tools	17

        artists-drawing-media	18
            artists-chalks	19
            artists-charcoals	20
            artists-crayons	21
            artists-inks	22
            artists-markers	23
            artists-pastels	24
            artists-pencils	25

            artists-pens	26
                calligraphy-pens	27

        artists-drawing-sets	28
        artists-fixatives	29
        artists-light-boxes	30
        artists-manikins	31
        artists-rubbing-supplies	32

    art-room-furniture	33
        art-horses	34
        artists-drawing-boards	35
        artists-drawing-tables	36
        artists-drying-racks	37
        artists-easels	38
        artists-print-racks	39
        artists-storage-cabinets	40
        artists-taborets	41
        artists-vertical-files	42

    art-supplies-storage-and-organization-products	43
        art-clay-storage-products	44
        art-media-storage-containers	45
        paintbrush-holders	46
        paintbrush-organizers	47

    art-transport-accessories	48
        art-transport-grips	49
        art-transport-handles	50

    art-transport-cases	51
        art-carrying-tubes	52
        art-toolboxes	53
        artists-backpacks	54
        artists-bags	55
        artists-canvas-carriers	56
        artists-portfolios	57
        artists-totes	58

    artists-boards	59
        clay-board	60
        gesso-board	61
        hardboard	62
        matboards	63
        pastel-board	64
        scratchboards	65
        wood-art-boards	66

    artists-canvas	67
        banner-and-sign-cloth	68
        canvas-pads	69
        canvas-panels	70
        prestretched-art-canvas	71
        rolled-art-canvas	72

    artists-canvas-tools-and-accessories	73
        canvas-clips	74
        canvas-scrapers	75
        canvas-stretching-products	76
        canvas-tacks	77

    artists-cleaning-supplies	78
        art-adhesive-removers	79
        art-tool-cleaning-supplies	80
        artists-hand-soap	81

    artists-frame-making-materials	82
        art-frame-making-tools	83
        art-frame-molding	84
        art-frame-parts-and-sections	85
        art-framing-rulers	86
        art-framing-straightedges	87
        art-framing-templates	88

    artists-lighting-equipment	89
        art-lighting-accessories	90
        art-picture-display-lighting	91
        art-studio-lighting	92
        artists-easel-lights	93
        lighted-magnifiers	94

    artists-painting-supplies	95
        airbrush-painting-supplies	96
        art-mixing-trays	97
        art-paint-finishes	98
        art-paint-making-materials	99
        art-paint-primers	100
        art-paint-reducers	101
        art-paint-sealers	102
        art-paint-sponges	103
        art-paint-strainers	104
        art-paint-thinners	105
        art-painting-kits	106
        art-paints	107
        art-palette-cups	108
        art-palette-knives	109
        art-palettes	110
        artists-paintbrush-sets	111

        artists-paintbrushes	112
            bright-paintbrushes	113
            fan-paintbrushes	114
            filbert-paintbrushes	115
            flat-paintbrushes	116
            hake-paintbrushes	117
            highliner-paintbrushes	118
            letterer-paintbrushes	119
            mop-paintbrushes	120
            one-stroke-paintbrushes	121
            oval-wash-paintbrushes	122
            pointed-round-paintbrushes	123
            quill-paintbrushes	124
            round-paintbrushes	125
            sash-paintbrushes	126
            script-paintbrushes	127
            sign-writer-paintbrushes	128
            square-wash-paintbrushes	129

        finger-paints	130
        paint-drip-pans	131
        paint-drop-cloths	132
        paint-rollers	133
        paint-tube-wringers	134

    artists-sharpening-tools	135

        scissors-sharpeners	136
        sharpening-stones	137

    artists-studio-safety-supplies	138
        artists-protective-clothing	139

            artists-aprons	140
            artists-smocks	141

        artists-protective-gear	142
            artists-gloves	143
            artists-goggles-and-shields	144
            artists-respirators-and-masks	145

        artists-protective-hand-cream	146
        dust-control-equipment	147
        kiln-safety-and-ventilation-products	148
        safety-spray-booths	149

    arts-and-crafts-adhesives	150
        adhesive-sheets	151
        adhesive-sprays	152
        adhesive-waxing-supplies	153
        art-mounting-adhesive-systems	154

        arts-and-crafts-glues	155
            art-epoxies	156
            ceramics-glass-china-glues	157
            fabric-glues	158
            general-purpose-glues	159
            glue-gun-sticks	160
            glue-sticks	161
            jewelry-making-glues	162
            rubber-cement	163

        arts-and-crafts-pastes	164
            flour-art-pastes	165
            rice-art-pastes	166
            wheat-art-pastes	167

        arts-and-crafts-tapes	168
            artists-tapes	169
            bookbinding-tapes	170
            double-coated-tapes	171
            drafting-tapes	172
            filament-tape	173
            filament-tapes	174
            foam-tapes	175
            gummed-tapes	176
            lithographers-tapes	177
            mounting-tapes	178
            photography-tapes	179
            screen-printing-tapes	180
            transfer-tapes	181

        fabric-adhesives	182
        laminating-supplies	183

    basketry-supplies	184

        basketry-coiling-core	185
        basketry-dyes	186
        basketry-kits	187
        basketry-plywood-bases	188
        basketry-raffia	189
        basketry-reed	190
        basketry-strips	191
        basketry-weaving-mats	192
        raffia-needles	193

    beading-supplies	194

        bead-looms	195
        beading-cord	196
        beading-hardware	197
        beading-kits	198
        beading-tools	199

        beads	200
            loose-beads	201

    candle-making-supplies	202
        candle-making-dyes	203
        candle-making-kits	204
        candle-making-molds	205
        candle-making-scents	206
        candle-making-wax	207
        candle-making-wicks	208

    ceramic-and-pottery-supplies	209
        artists-clays	210
        artists-doughs	211

        ceramic-and-pottery-equipment	212
            clay-extruders	213
            clay-mixers	214
            clay-molds	215
            clay-presses	216
            clay-wedging-boards-and-angles	217
            pug-mills	218
            slab-rollers	219

        ceramic-and-pottery-glazes	220
        ceramic-and-pottery-tools	221
        kiln-firing-accessories	222
        kilns	223
        pottery-wheel-accessories	224
        pottery-wheels	225

    craft-foam	226

    craft-supplies-storage-and-organization-products	227
        embroidery-storage-products	228
        quilting-storage-products	229
        scrapbooking-storage-products	230
        sewing-storage-products	231
        yarn-storage-products	232

    doll-making-supplies	233

    fabric	234
        felt-fabric	235
        printable-fabric	236

    fabric-decorating-supplies	237
        fabric-art-application-tools	238
        fabric-decorating-kits	239
        fabric-dye-repellents	240
        fabric-dyes	241
        fabric-fixatives	242
        fabric-waxes	243

    floral-arranging-supplies	244
    general-artists-cutting-tools	245

        art-cutting-rails	246
        art-knife-refill-blades	247
        art-knives	248
        art-safety-edges	249
        craft-shears	250
        engraving-tools	251
        glass-cutting-tools	252
        mat-cutter-refill-blades	253
        mat-cutters	254
        paper-trimmers	255
        rotary-cutter-refill-blades	256
        scissors	257

    irons	258
        automatic-turnoff-irons	259
        travel-irons	260

    jewelry-making-supplies	261
        casting-metals	262
        jewelry-casting-machines	263

        jewelry-findings	264
            earring-backs-and-findings	265

        jewelry-making-accessories	266
        jewelry-making-charms	267
        jewelry-making-kits	268
        jewelry-making-tools	269
        jewelry-making-wire	270
