Musical Instruments	optgroup

musical-instruments	1
    keyboard-instruments	2

        accordions	3

        acoustic-pianos	4
            grand-pianos	5
            upright-pianos	6

        digital-pianos	7

        electronic-keyboards	8
            portable-keyboards	9
            synthesizers-and-workstations	10

        harmoniums	11
        harpsichords	12
        organs-keyboard-instruments	13
        player-pianos	14
        thumb-pianos	15

    percussion-instruments	16

        bar-chimes	17
            drum-set-bar-chimes	18
            handheld-bar-chimes	19

        bells-percussion-instruments	20

            agogo-bells	21
                drum-set-agogo-bells	22
                handheld-agogo-bells	23

            barbells-percussion-instruments	24

                drum-set-barbells	25
                handheld-barbells	26

            concert-bells	27

            cowbells	28
                drum-set-cowbells	29
                handheld-cowbells	30

            handbells-percussion-instruments	31
            jingle-bells	32

        blocks-percussion-instruments	33
            temple-blocks	34

        cabasas	35
        castanets	36
        claves	37

        cymbals	38

            drum-set-cymbals	39
                china-cymbals	40
                crash-cymbals	41
                crash-ride-cymbals	42
                cymbal-variety-packages	43
                effect-cymbals	44
                hi-hat-cymbals	45
                ride-cymbals	46
                splash-cymbals	47

            handheld-cymbals	48

        drum-sets	49

        drums-percussion-instruments	50
            acoustic-drums	51

                acoustic-drum-packages	52
                ashikos	53

                bass-drums	54
                    concert-bass-drums	55
                    drum-set-bass-drums	56
                    marching-bass-drums	57

                bodhrans	58
                bongos	59
                cajons	60
                congas	61
                darbukas	62
                djembes	63
                doumbeks	64
                drum-tables	65
                frame-drums	66
                hand-drums	67
                klong-yaws	68
                ngomas	69
                ocean-drums	70
                paddle-drums	71
                quintos	72
                slit-drums	73

                snare-drums	74
                    concert-snare-drums	75
                    drum-set-snare-drums	76
                    marching-snare-drums	77

                steel-drums	78
                tablas	79
                talking-drums	80
                tall-drums	81
                tamboras	82
                timbals-musical-instruments	83
                timpanis	84

                    rotary-timpanis	85

                tom-toms	86
                    concert-tom-toms	87
                    drum-set-tom-toms	88
                    marching-tom-toms	89

                tombeks	90
                tumbas	91
                udu-drums	92

            electronic-drums	93

                electronic-drum-sets	94

        finger-cymbals	95
        glockenspiels	96
        gongs-percussion-instruments	97
        guiros	98
        jingle-rings	99
        jingle-sticks	100
        kokirikos	101
        marimbas	102
        metallophones	103
        musical-washboards	104

        percussion-sound-effects	105
            cricket-percussion-sound-effects	106

        rainsticks-percussion-instruments	107
        rasps-percussion-instruments	108
        ratchets-percussion-instruments	109

        rattles-percussion-instruments	110
            maracas	111

        resonator-bells	112
        sand-blocks-percussion-instruments	113
        shakers-percussion-instruments	114
        slapsticks-percussion-instruments	115

        tambourines	116
            drum-set-tambourines	117
            handheld-tambourines	118
            shakerines	119

        triangles-percussion-instruments	120
        vibraphones	121
        xylophones	122

    stringed-instruments	123
        autoharps	124
        banjos	125
        bouzoukis	126
        cellos	127
        dulcimers	128

        guitars	129

            acoustic-guitars	130
                acoustic-electric-guitars	131
                acoustic-guitar-packages	132
                classical-guitars	133
                resonator-guitars	134
                steel-string-acoustic-guitars	135

            bass-guitars	136
                acoustic-bass-guitars	137
                acoustic-electric-bass-guitars	138
                bass-guitar-packages	139
                electric-bass-guitars	140

            electric-guitars	141

                electric-guitar-packages	142
                hollow-body-electric-guitars	143
                semi-hollow-body-electric-guitars	144
                solid-body-electric-guitars	145

        harps-musical-instruments	146

