Cleaning & Maintenance Supplies	optgroup

air-filters	1

air-freshener-supplies	2

    air-freshener-refills	3
        electric-air-freshener-refills	4
        liquid-air-freshener-refills	5
        pump-air-freshener-refills	6
        solid-air-freshener-refills	7

    air-fresheners	8
        aerosol-air-fresheners	9
        electric-air-fresheners	10
        liquid-air-fresheners	11
        pump-air-fresheners	12
        solid-air-fresheners	13

bathroom-tissue	14
chemical-drain-openers	15
childrens-step-stools	16

cleaning-supplies	17

    cleaning-apparel	18
        cleaning-aprons	19

        cleaning-gloves	20

            disposable-gloves	21
                disposable-latex-gloves	22
                disposable-nitrile-gloves	23
                disposable-vinyl-gloves	24

            latex-gloves	25
                heavy-duty-latex-gloves	26

            nitrile-gloves	27
                heavy-duty-nitrile-gloves	28

            vinyl-gloves	29
                heavy-duty-vinyl-gloves	30

    cleaning-tools	31

        broom-accessories	32
            broom-brush-heads	33
            broom-handles	34

        brooms	35
            angle-brooms	36
            push-brooms	37
            short-handle-brooms	38

        carpet-steam-cleaner-accessories	39
        carpet-steam-cleaners	40
        carpet-sweeper-accessories	41
        carpet-sweepers	42

        cleaning-brushes	43
            short-handle-brushes	44
            toilet-brushes	45

        cleaning-buckets	46
            mopping-buckets	47

        cleaning-caddies	48
        cleaning-dust-cloths	49
        cleaning-dusters	50
        cleaning-dustpans	51
        cleaning-scouring-pads	52
        cleaning-scrapers	53
        cleaning-sponges	54
        cleaning-squeegees	55
        floor-polishing-machines	56

        mop-accessories	57
            dust-mop-refill-pads	58
            mop-handles	59
            mop-refill-sponges	60
            mop-replacement-heads	61
            wet-mop-system-refill-pads	62

        mopping-products	63
            dust-mops	64
            mops	65
            roller-mops	66
            sponge-mops	67
            wet-mop-systems	68

        vacuum-parts-and-accessories	69

            vacuum-bags	70
                vacuum-bags-canister	71
                vacuum-bags-handheld	72
                vacuum-bags-upright	73

            vacuum-belts	74
            vacuum-covers	75

            vacuum-filters	76
                vacuum-filters-canister	77
                vacuum-filters-handheld	78
                vacuum-filters-upright	79
                vacuum-filters-wet-dry	80

            vacuum-fittings	81
                vacuum-fittings-canister	82
                vacuum-fittings-handheld	83
                vacuum-fittings-upright	84
                vacuum-fittings-wet-dry	85

            vacuum-hoses	86
                vacuum-hoses-canister	87
                vacuum-hoses-handheld	88
                vacuum-hoses-wet-dry	89

            vacuum-lamp-bulbs	90
            vacuum-pads	91

        vacuums	92
            bagless-vacuums	93
            canister-vacuums	94
            handheld-vacuums	95
            handle-power-switch-vacuums	96
            hepa-filter-vacuums	97
            lightweight-vacuums	98
            rechargeable-vacuums	99
            robotic-intelligent-vacuums	100
            self-propelled-vacuums	101
            stick-vacuums	102
            upright-vacuums	103
            wet-dry-vacuums	104

    dishwashing-supplies	105
        dish-detergent	106

        dishwasher-detergent	107
            gel-dishwasher-detergent	108
            liquid-dishwasher-detergent	109
            paste-dishwasher-detergent	110
            powder-dishwasher-detergent	111
            tablet-dishwasher-detergent	112

    household-cleaners	113

        bathroom-cleaners	114
            abrasive-powder-bathroom-cleaners	115
            bathroom-cleaner-wipes-and-cloths	116
            bathroom-shower-cleaners	117
            bathroom-tile-and-grout-cleaners	118
            gel-bathroom-cleaners	119
            household-lime-and-scale-removers	120
            spray-bathroom-cleaners	121
            toilet-bowl-cleaners	122
            toilet-bowl-deodorizers	123

        carpet-cleaning-products	124
            carpet-cleaners	125
            carpet-stain-precleaning-products	126

        floor-cleaners	127
            floor-wax	128

            hard-floor-cleaning-solutions	129
                liquid-floor-cleaning-solutions	130
                wet-mop-system-solution-refills	131

            wood-polishing-oils	132

        glass-cleaners	133
        household-cleaning-wipes-and-cloths	134
        kitchen-cleaners	135
        multipurpose-cleaners	136
        upholstery-cleaners	137

    household-polish	138
        floor-polish	139

        metal-polish	140
            multipurpose-metal-polish	141
            silver-polish	142
            stainless-steel-polish	143

        wood-polish	144

    laundry-supplies	145
        antistatic-sprays	146
        fabric-deodorizer	147
        fabric-shavers	148
        laundry-bleach	149

        laundry-detergent	150
            liquid-laundry-detergent	151
            powdered-laundry-detergent	152

