Airsoft	optgroup

airsoft-equipment	1
    airsoft-batteries	2
    airsoft-battery-chargers	3
    airsoft-bbs	4
    airsoft-grenades	5
    airsoft-gun-cases	6
    airsoft-gun-lasers	7
    airsoft-gun-loaders	8
    airsoft-gun-rails	9
    airsoft-gun-scope-mounts	10
    airsoft-gun-scopes	11
    airsoft-gun-sights	12
    airsoft-gun-slings	13
    airsoft-guns	14

        airsoft-launchers	15
        airsoft-mini-guns	16
        airsoft-pistols	17
        airsoft-rifles	18
        airsoft-shotguns	19

        airsoft-submachine-guns	20
            airsoft-uzi-guns	21

    airsoft-holsters	22
        airsoft-body-armor-holsters	23
        airsoft-leg-holsters	24
        airsoft-stomach-band-holsters	25

    airsoft-magazines	26
    airsoft-pellets	27
    airsoft-starter-packs	28
    airsoft-tactical-vests	29
    airsoft-targets	30
    airsoft-tools	31

airsoft-protective-gear	32

    airsoft-chest-protectors	33
    airsoft-gloves	34
    airsoft-goggles	35
    airsoft-helmets	36
    airsoft-masks	37
    airsoft-neck-protectors	38

slingshot-ammunition	39
slingshots	40

Archery	optgroup

archery-equipment	41

    archery-arrows	42
        crossbow-bolts	43
        hunting-arrows	44
        targeting-arrows	45

    archery-bow-cases	46
    archery-bow-limbs	47
    archery-bow-maintenance-products	48
    archery-bow-press	49
    archery-bow-slings	50

    archery-bows	51
        basic-archery-bows	52
        compound-archery-bows	53
        crossbows	54
        longbows	55
        recurve-archery-bows	56

    archery-bowstrings	57
    archery-broadheads	58
    archery-clickers	59
    archery-cocking-devices	60
    archery-crossbow-scopes	61
    archery-finger-tabs	62
    archery-fletchers	63
    archery-fletches	64
    archery-gloves	65
    archery-kisser-buttons	66
    archery-netting	67
    archery-nocks	68

    archery-points	69
        ball-archery-points	70
        bullet-archery-points	71
        chisel-archery-points	72

    archery-quivers	73
        archery-back-quivers	74
        archery-bow-quivers	75
        archery-hip-quivers	76
        archery-pocket-quivers	77
        archery-tube-quivers	78

    archery-release-aids	79
    archery-rests	80
    archery-risers	81
    archery-serving	82
    archery-sights	83
    archery-stabilizers	84
    archery-starter-kits	85
    archery-string-silencers	86
    archery-target-faces	87
    archery-target-stands	88

    archery-targets	89
        3d-targets	90
        bag-targets	91
        foam-targets	92
        paper-targets	93
        straw-targets	94

archery-protective-gear	95
    archery-arm-guards	96
    archery-chest-protectors	97

Badminton	optgroup

badminton-equipment	98
    badminton-nets	99
    badminton-posts	100
    badminton-rackets	101
    badminton-racquet-sets	102
    badminton-sets	103
    badminton-shuttlecocks	104

racket-string	105
racket-stringing-machines-and-tools	106

Baseball	optgroup

baseball-equipment	107

    baseball-backstops	108
    baseball-ball-bags	109
    baseball-base-accessories	110
    baseball-bases	111
    baseball-bat-bags	112
    baseball-bat-cleaner	113
    baseball-bat-grips-and-grip-tape	114
    baseball-bat-racks	115
    baseball-bat-sleeves	116

    baseball-bats	117
        fungo-and-training-baseball-bats	118
        plastic-baseball-bats	119
        standard-baseball-bats	120
        t-ball-bats	121

    baseball-batting-cages	122
    baseball-batting-gloves	123
    baseball-batting-tees	124
    baseball-batting-weights	125
    baseball-catchers-bags	126
    baseball-drag-mats	127
    baseball-equipment-bags	128
    baseball-field-accessories	129
    baseball-field-maintenance-equipment	130
    baseball-helmet-bags	131
    baseball-helmet-trees	132
    baseball-lineup-boards	133
    baseball-mitt-lace	134
    baseball-mitt-padding	135
    baseball-mitt-treatments	136

    baseball-mitts	137
        baseball-infielders-gloves	138
        baseball-outfielders-gloves	139
        catchers-mitts	140
        first-basemans-mitts	141

    baseball-pine-tar	142
    baseball-pitching-rubbers	143
    baseball-pitching-training-aids	144
    baseball-protective-screens	145
    baseball-scorebooks	146

    baseball-starter-sets	147
        baseball-bat-and-ball-sets	148
        plastic-baseball-bat-and-ball-sets	149
        t-ball-sets	150

    baseball-team-bags	151

    baseball-training-aids	152
        baseball-batting-trainers	153
        baseball-pitching-machines	154
        baseball-practice-nets	155
        baseball-rebounders	156
        baseball-sliding-trainers	157

    baseballs	158
        pitching-machine-balls	159
        plastic-baseballs	160
        radar-baseballs	161
        standard-baseballs	162

baseball-protective-gear	163

    baseball-catchers-throat-protectors	164

    baseball-chest-protectors	165
        catchers-baseball-chest-protectors	166
        umpires-baseball-chest-protectors	167

    baseball-face-guards	168
    baseball-forearm-protectors	169

    baseball-helmets	170
        baseball-batting-helmets	171
        baseball-catchers-helmets	172
        baseball-umpires-helmets	173

    baseball-knee-guards	174
    baseball-knee-pads	175
    baseball-leg-guards	176
    baseball-masks	177

        baseball-catchers-masks	178
        baseball-umpires-masks	179

    baseball-protective-wristbands	180
    baseball-shin-guards	181
    baseball-sliding-pads	182

    baseball-vests	183
        baseball-catchers-vests	184
        baseball-umpires-vests	185

Basketball	optgroup

ball-inflation-gauges	186
ball-inflation-pump-pins	187

basketball-equipment	188
    basketball-backboard-pads	189

    basketball-backboards	190
        in-ground-basketball-backboards	191
        institutional-basketball-backboards	192
        portable-basketball-backboards	193
        wall-mount-basketball-backboards	194

    basketball-court-accessories	195
    basketball-eyeglass-protectors	196
    basketball-height-adjusters	197
    basketball-lineup-boards	198
    basketball-nets	199
    basketball-pole-pads	200
    basketball-possession-indicators	201
    basketball-rims	202
    basketball-scoreboards-and-timers	203
    basketball-scorebooks	204
    basketball-storage	205

    basketball-training-aids	206
        basketball-dribble-glasses	207
        basketball-returns	208

    basketballs	209
        indoor-basketballs	210
        junior-sized-basketballs	211
        mini-basketballs	212
        official-sized-basketballs	213
        outdoor-basketballs	214
        womens-sized-basketballs	215

sports-inflation-devices	216

Billiards	optgroup

billiards-equipment	217

    billiard-ball-racks	218
        15-ball-racks	219
        9-ball-racks	220
        standard-billiard-ball-racks	221

    billiard-balls	222
        billiard-cue-balls	223
        billiard-practice-balls	224

    billiard-bridge-heads	225
    billiard-bridges	226
    billiard-bumper-balls	227
    billiard-cloth	228
    billiard-cue-cases	229
    billiard-cue-chalk	230
    billiard-cue-racks	231
    billiard-cue-tips	232
    billiard-lighting	233
    billiard-table-brushes	234
    billiard-table-covers	235
    billiard-table-legs	236
    billiard-table-pockets	237
    billiard-table-tennis-conversion-tops	238
    billiard-talc	239
    bumper-pool-tables	240
    pool-cues	241

    pool-tables	242
        coin-operated-pool-tables	243
        standard-pool-tables	244

    snooker-tables	245

Boating	optgroup

boating-equipment	246
    boat-bells	247
    boat-cabin-heaters	248
