Agricultural Equipment	optgroup

agricultural-equipment	1
    auger-accessories	2

        auger-bit-replacement-blades	3
        auger-bits	4
        auger-extensions	5
        auger-lift-arm-bushings	6

    augers	7

        earth-augers	8
        posthole-diggers	9

    beekeeping-products	10
        beekeeping-protective-clothing	11

            beekeeping-body-suits	12
            beekeeping-gloves	13
            beekeeping-helmets	14
            beekeeping-jackets	15
            beekeeping-veils	16

        beekeeping-supplies	17
            bee-smoker-fuel	18
            beehive-medication	19

        beekeeping-tools	20

            bee-brushes	21
            bee-smokers	22
            beehive-maintance-tools	23

    fencing-tools	24
        fence-pliers	25
        fence-post-drivers	26
        fence-post-pullers	27
        fence-stretchers	28

    gate-accessories	29
        electronic-gate-openers	30
        gate-wheels	31

    gates	32

    livestock-equipment	33
        livestock-artificial-insemination-equipment	34
        livestock-birthing-equipment	35
        livestock-dairy-equipment	36
        livestock-enclosure-equipment	37
        livestock-feeding-equipment	38
        livestock-grooming-equipment	39
        livestock-handling-equipment	40
        livestock-health-equipment	41

        livestock-identification-equipment	42
            livestock-branding-equipment	43
            livestock-tattooing-equipment	44

        livestock-watering-equipment	45
        livestock-weighing-equipment	46

    tractor-attachments-and-accessories	47

        3-point-accessories	48
            bushing-kits	49
            hitch-pins	50
            pto-adapters	51
            pto-draw-bars	52
            pto-stabilizer-kits	53
            pto-top-links	54

        3-point-attachments	55
            3-point-bale-spears	56
            3-point-boom-poles	57
            3-point-box-blades	58
            3-point-cultivators	59
            3-point-dirt-scoops	60
            3-point-grader-blades	61
            3-point-harrows	62
            3-point-landscape-rakes	63
            3-point-mowers	64
            3-point-plows	65
            3-point-posthole-diggers	66
            3-point-rotary-tillers	67
            3-point-snowblowers	68
            3-point-spreaders	69

        tractor-seats	70

    tractors	71

tool-and-hardware-gift-certificates	72

Construction Heavy Machinery	optgroup

construction-heavy-machinery	73

    backhoes	74
    bulldozers	75

    heavy-machinery-seats	76
        universal-heavy-machinery-seats	77

    skid-steer-attachments-and-accessories	78

        skid-steer-accessories	79
            skid-steer-enclosures	80
            skid-steer-locks	81
            skid-steer-seats	82

        skid-steer-attachments	83
            skid-steer-backhoes	84
            skid-steer-boom-poles	85
            skid-steer-buckets	86
            skid-steer-cement-mixers	87
            skid-steer-pallet-forks	88
            skid-steer-rakes	89

    skid-steers	90

tool-and-hardware-gift-certificates	91

Electrical Equipment	optgroup

electrical-equipment	92
    cable-ties	93
    circuit-breaker-panels	94
    circuit-breakers	95
    conduit-fittings	96
    cord-covers	97
    cord-reels	98
    door-chimes	99
    electric-motors	100
    electric-plugs	101
    electrical-boxes	102
    electrical-cables	103
    electrical-fittings	104
    electrical-power-cords	105

    electrical-switches	106
        auto-switches	107
        dimmer-switches	108
        pressure-switches	109
        pushbutton-switches	110
        safety-switches	111
        slide-switches	112
        toggle-switches	113

    electrical-tape	114

    electrical-testers	115
        battery-testers	116
        circuit-testers	117
        multi-testers	118
        voltage-testers	119

    electrical-timers	120
    electrical-wires	121
    extension-cords	122
    fuses	123
    ground-fault-circuit-interrupters	124

    household-alarms-and-detectors	125
        carbon-monoxide-detectors	126
        combination-smoke-carbon-monoxide-detectors	127
        low-temperature-alarms	128
        smoke-detectors	129
        water-alarms	130

    light-sockets	131
    load-centers	132
    plug-adapters	133
    power-receptacles	134
    power-strips-and-multi-outlets	135

    power-supplies	136
