Bath & Shower	optgroup
baby-bathing-products	0
baby-bar-soaps	1
baby-bathing-aromatherapy-products	2
baby-bathing-body-washes	3
baby-bathing-cleansing-lotions	4
baby-bathing-foams	5
baby-bathing-hypoallergenic-cleansers	6
baby-bathing-moisturizing-products	7
baby-bathing-no-rinse-cleansing-fluids	8
bath-and-shower-products	9
bath-and-shower-product-sets	10
bath-products	11
bath-bombs	12
bath-minerals-and-salts	13
bath-oils	14
bath-pearls-and-flakes	15
bathtub-teas	16
bubble-baths	17
body-cleansers	18
bath-and-shower-gels	19
bath-soaps	20
facial-soaps	21
hand-soaps	22
body-scrubs-and-treatments	23
body-mousses	24
body-muds	25
body-scrubs	26
body-souffles	27
bathing-accessories	28
bath-brushes	29
bath-loofahs	30
bath-mitts-and-cloths	31
bath-pillows	32
bath-poufs	33
bath-sponges	34
bath-trays	35
bathing-accessory-sets	36
cooling-eye-masks	37
shower-caps	38
deodorants-and-antiperspirants	39
antiperspirant-deodorants	40
antiperspirants	41
deodorants	42
toiletry-bags	43
toiletry-product-sets	44
Beauty Tools & Accessories	optgroup
cotton-balls	45
cotton-swabs	46
eyelash-tools	47
eyelash-curlers	48
fake-eyelashes-and-adhesives	49
facial-steamers	50
hair-coloring-tools	51
hair-color-applicator-bottles	52
hair-color-caps	53
hair-color-foils	54
hair-color-mixing-bowls	55
hair-color-removers	56
hair-color-wraps	57
hair-coloring-brushes-and-combs	58
hair-coloring-needles	59
hair-permanent-accessories	60
hair-permanent-end-papers	61
hair-permanent-rollers	62
hair-styling-products	63
hair-braiders	64
hair-brushes	65
hair-combs	66
hair-dryer-diffusers	67
hair-dryers	68
ionizing-hair-dryers	69
portable-salon-dryers	70
travel-hair-dryers	71
volumizing-hair-dryers	72
wall-mounted-hair-dryers	73
hair-drying-towels	74
hair-rollers	75
hair-styling-accessories	76
decorative-hair-combs	77
fashion-headbands	78
hair-barrettes	79
hair-claws	80
hair-clips	81
hair-jewels	82
hair-pins	83
hair-sticks	84
ponytail-holders	85
hair-styling-irons	86
crimping-irons	87
curling-irons	88
flattening-irons	89
hair-styling-product-accessories	90
hair-styling-product-sets	91
hair-styling-sets-and-kits	92
hot-air-brushes	93
makeup-applicators	94
makeup-puffs	95
makeup-sponges	96
makeup-wedges	97
makeup-bags-and-cases	98
cosmetic-bags	99
cosmetic-tote-bags	100
makeup-brush-bags	101
makeup-train-cases	102
makeup-travel-cases-and-holders	103
refillable-cosmetic-containers	104
makeup-blotting-papers	105
makeup-brush-cleaners	106
makeup-brushes	107
brow-brushes	108
cheek-brushes	109
eye-brushes	110
face-brushes	111
blending-brushes	112
camouflage-brushes	113
concealer-brushes	114
contour-brushes	115
fading-brushes	116
fan-brushes	117
foundation-brushes	118
powder-brushes	119
kabuki-powder-brushes	120
lash-brushes	121
lip-brushes	122
makeup-brush-sets	123
makeup-gloves	124
makeup-sharpeners	125
makeup-tool-sets-and-kits	126
makeup-treatment-tools	127
blemish-tools	128
cleansing-face-brushes	129
manicure-tools	130
cuticle-nippers	131
cuticle-pushers	132
cuticle-scissors	133
false-nails	134
fingernail-clippers	135
manicure-kits	136
nail-art-equipment	137
nail-brushes	138
nail-dryers	139
nail-files-and-buffers	140
nail-scissors	141
nail-care-products	142
pedicure-kits	143
toenail-clippers	144
pedicure-tools	145
callus-shavers	146
callus-stones	147
foot-rasps	148
spa-slippers	149
toe-separators	150
perfume-atomizers-empty	151
perfume-bottles-empty	152
personal-mirrors	153
personal-makeup-mirrors	154
shower-mirrors	155
shower-caps	156
Fragrances	optgroup
home-fragrance-products	157
aroma-diffusers	158
fragrant-drawer-liners	159
fragrant-room-sprays	160
home-fragrance-accessories	161
home-fragrance-sets	162
incense	163
cone-incense	164
stick-incense	165
incense-holders	166
light-bulb-rings	167
linen-sprays	168
potpourris	169
sachets	170
sachet-sets	171
scented-oils	172
personal-fragrances	173
bath-and-shower-spray-fragrances	174
colognes	175
fragrance-sets	176
perfumes	177
eau-de-parfums	178
eau-de-toilettes	179
personal-essential-oils	180
scented-candles	181
Hair Care	optgroup
hair-care-products	182
hair-care-product-sets	183
hair-coloring-products	184
chemical-hair-dyes	185
hair-color-correctors	186
hair-color-primers	187
hair-color-refreshers	188
hair-hennas	189
hair-highlighting-products	190
hair-conditioners-and-treatments	191
childrens-hair-conditioners	192
hair-and-scalp-treatments	193
hair-detanglers	194
hair-relaxer-conditioners	195
intensive-hair-treatments	196
standard-hair-conditioners	197
hair-shampoos	198
childrens-hair-shampoos	199
hair-relaxer-shampoos	200
shampoo-plus-conditioners	201
standard-hair-shampoos	202
hair-care-styling-products	203
braid-maintenance-products	204
curl-enhancers	205
hair-extensions	206
hair-replacement-wigs	207
hair-sprays	208
hair-styling-creams	209
hair-styling-foams	210
hair-styling-gels	211
hair-styling-lotions	212
hair-styling-mousses	213
hair-styling-serums	214
hair-styling-treatments	215
hair-permanent-products	216
after-perm-shampoos	217
hair-permanent-accessories	218
hair-permanent-end-papers	219
hair-permanent-rollers	220
hair-permanent-kits	221
hair-permanent-neutralizers	222
hair-permanent-texturizers	223
hair-permanent-wave-lotions	224
hair-relaxer-products	225
hair-relaxer-activators	226
hair-relaxer-creams	227
hair-relaxer-gels	228
hair-relaxer-lotions	229
hair-relaxer-tonics	230
hair-styling-waxes	231
hairpieces	232
pomades	233
hair-growth-products	234
hair-regrowth-conditioners	235
hair-regrowth-shampoos	236
hair-regrowth-styling-products	237
hair-regrowth-treatments	238
Hair Removal	optgroup
electrolysis-pens	239
hair-trimmers	240
beard-trimmers	241
bikini-hair-trimmers	242
hair-trimmer-kits-and-sets	243
nose-and-ear-hair-trimmers	244
three-in-one-hair-trimmers	245
Makeup	optgroup
lip-scrubs	246
makeup	247
blush-highlighters	248
body-makeup	249
body-bronzers	250
body-concealers-makeup	251
body-glitters	252
body-paint-makeup	253
henna-body-paints	254
temporary-tattoos	255
concealers-makeup	256
eye-makeup	257
combination-eye-liners-and-shadows	258
eye-glitter-and-shimmer	259
eye-liners	260
eye-makeup-concealers	261
eye-shadows	262
eye-glosses	263
eyebrow-makeup	264
mascara	265
multicolor-eye-makeup-palettes	266
face-blushes	267
face-tints	268
face-bronzers	269
face-glitter-makeup	270
face-powders	271
face-shimmer-makeup	272
foundation-makeup	273
foundation-primers	274
lip-makeup	275
lip-glosses	276
lip-liners	277
lip-plumpers	278
lip-stains	279
lipstick	280
multicolor-lipstick-palettes	281
lipstick-primers	282
makeup-palettes	283
makeup-sets	284
nail-polish-and-nail-decoration-products	285
base-nail-coats	286
nail-decals	287
nail-decorations	288
nail-polish	289
nail-polish-removers	290
nail-thickening-solutions	291
top-nail-coats	292
neutralizing-makeup	293
makeup-removers	294
eye-makeup-removers	295
face-makeup-removers	296
lip-makeup-removers	297
tooth-whitening-products	298
tooth-whitening-gels	299
tooth-whitening-strips	300
tooth-whitening-systems	301
Skin Care	optgroup
baby-skin-care-products	302
baby-lotions	303
baby-oils	304
baby-powders	305
diaper-creams	306
body-cleansers	307
facial-soaps	308
electric-foot-massagers	309
foot-bath-salts	310
foot-creams	311
foot-lotions	312
foot-oils	313
foot-powders	314
foot-scrubs	315
foot-soaks	316
foot-sprays	317
foot-swabs	318
liquid-foot-care-products	319
massage-products	320
massage-lotions	321
massage-oils	322
pedicure-tools	323
callus-shavers	324
callus-stones	325
foot-rasps	326
skin-care-product-accessories	327
skin-care-products	328
body-skin-care-products	329
body-butters	330
body-gels-and-creams	331
bust-creams	332
leg-creams	333
body-lotions	334
body-oils	335
body-powders	336
facial-care-products	337
eye-treatment-products	338
dark-circle-eye-treatments	339
eye-masks	340
eye-puffiness-treatments	341
facial-astringents	342
facial-cleansing-products	343
facial-cleansing-cloths-and-towelettes	344
facial-cleansing-creams	345
facial-cleansing-gels	346
facial-cleansing-pads	347
facial-cleansing-strips	348
facial-liquid-cleansers	349
pore-cleansers	350
facial-moisturizers	351
facial-toners	352
facial-treatment-products	353
facial-masks	354
clay-facial-masks	355
gel-facial-masks	356
facial-muds	357
facial-night-treatments	358
facial-peels	359
facial-polishes	360
facial-scar-treatments	361
facial-scrubs	362
facial-spot-treatments	363
facial-sprays-and-mists	364
hand-and-nail-care-products	365
cuticle-care-products	366
cuticle-creams-and-oils	367
cuticle-removers	368
cuticle-repair-treatments	369
hand-creams	370
hand-lotions	371
hand-sanitizers	372
hand-washes	373
moisturizing-gloves	374
nail-treatment-products	375
nail-fungicides	376
nail-growth-formula-treatments	377
nail-repair-products	378
nail-ridge-fillers	379
nail-strengthening-products	380
nail-whitening-treatments	381
paraffin-bath-wax	382
paraffin-baths	383
maternity-skin-care-products	384
stretch-mark-prevention-products	385
skin-care-kits	386
skin-care-product-sets	387
sunscreens-and-tanning-products	388
after-sun-skin-care-moisturizers	389
body-bronzing-products	390
self-tanning-products	391
sunscreens	392
childrens-sunscreens	393
sport-sunscreens	394
tanning-oils	395
