Body Jewelry	optgroup

body-jewelry	1
    anklets	2
    belly-chains	3

    body-piercing-jewelry	4

        body-piercing-barbells	5

            curved-body-piercing-barbells	6
                curved-belly-button-piercing-barbells	7

            straight-body-piercing-barbells	8
                labret-body-piercing-barbells	9
                straight-belly-button-piercing-barbells	10

        body-piercing-plugs	11

            flared-body-piercing-plugs	12
                double-flared-body-piercing-plugs	13
                single-flared-body-piercing-plugs	14

            tapered-body-piercing-plugs	15

        body-piercing-retainers	16
            body-piercing-septum-retainers	17

        body-piercing-rings	18

            belly-button-piercing-rings	19
            captive-bead-body-piercing-rings	20
            horseshoe-body-piercing-rings	21

        body-piercing-screws	22

            body-piercing-lip-screws	23
            body-piercing-nostril-screws	24

        body-piercing-tunnels	25
            flared-body-piercing-tunnels	26

                double-flared-body-piercing-tunnels	27
                single-flared-body-piercing-tunnels	28

    toe-rings	29

Bracelets	optgroup

bracelets	30

    anklets	31
    bangle-bracelets	32
    charm-bracelets	33
    cuff-bracelets	34
    identification-bracelets	35
    link-bracelets	36
    tennis-bracelets	37

jewelry-sets	38
    bracelet-and-necklace-sets	39
    bracelet-earring-and-necklace-sets	40
    bracelet-sets	41
    earring-and-bracelet-sets	42
    watch-and-bracelet-sets	43

tennis-bracelet-jackets	44

Brooches & Pins	optgroup

brooches-and-pins	45
    brooches	46
    dress-clips	47
    fur-clips	48
    jewelry-pins	49

jewelry-sets	50
    earring-and-brooch-sets	51

Earrings	optgroup

earring-backs-and-findings	52
earring-jackets	53

earrings	54
    ball-earrings	55
    button-earrings	56
    dangle-earrings	57
    drop-earrings	58
    ear-cuffs	59
    ear-pins	60
    ear-wraps	61
    half-ball-earrings	62
    hoop-earrings	63
    stud-earrings	64

jewelry-sets	65
    bracelet-earring-and-necklace-sets	66
    earring-and-bracelet-sets	67
    earring-and-brooch-sets	68

    earring-and-necklace-sets	69
        earring-and-pendant-necklace-sets	70

    earring-and-pendant-sets	71
    earring-necklace-and-ring-sets	72
    earring-sets	73

Jewelry Accessories	optgroup

jewelry-accessories	74
    earring-backs-and-findings	75
    earring-jackets	76
    jewelry-clasps	77
    pendant-enhancers	78
    pendant-slides	79
    tennis-bracelet-jackets	80

jewelry-cleaning-and-care-products	81
    jewelry-cleaning-machines	82
    jewelry-cleaning-product-kits	83
    jewelry-cleaning-solutions	84
    jewelry-polishing-cloths	85

jewelry-organizers	86
    closet-hanging-jewelry-organizers	87
    jewelry-armoires	88

    jewelry-boxes	89
        jewelry-keepsake-boxes	90
        jewelry-music-boxes	91

    jewelry-chests	92
    jewelry-rolls	93
    jewelry-towers	94
    jewelry-trays	95

jewelry-store-accessories	96
    luxury-frames	97

    precious-material-desk-accessories	98
        precious-material-desk-clocks	99
        precious-material-desk-sets	100
        precious-metal-letter-trays	101

    precious-metal-card-cases	102
    precious-metal-key-rings	103
    precious-metal-letter-openers	104
    precious-metal-money-clips	105
    precious-metal-pens	106
    precious-metal-pocketknives	107
    watch-storage-cases	108

Necklaces & Pendants	optgroup

jewelry-sets	109
    bracelet-and-necklace-sets	110
    bracelet-earring-and-necklace-sets	111

    earring-and-necklace-sets	112
        earring-and-pendant-necklace-sets	113

    earring-and-pendant-sets	114
    earring-necklace-and-ring-sets	115

necklaces	116
    chain-necklaces	117
    choker-necklaces	118
    collar-necklaces	119
    pearl-strands	120

        choker-pearl-strands	121
        matinee-pearl-strands	122
        opera-pearl-strands	123
        princess-pearl-strands	124
        rope-pearl-strands	125

    pendant-necklaces	126
        locket-necklaces	127

pendant-enhancers	128
pendant-slides	129
pendants	130

Other Jewelry	optgroup

bolo-ties	131
charms	132
cuff-links	133

jeweled-hair-ornaments	134
    jeweled-hair-clips	135
    jeweled-hair-combs	136
    jeweled-hair-sticks	137
    jeweled-hairpins	138
    jeweled-headbands	139
    tiaras	140

jewelry-sets	141
    bracelet-and-necklace-sets	142
    bracelet-earring-and-necklace-sets	143
    bracelet-sets	144
    earring-and-bracelet-sets	145
    earring-and-brooch-sets	146

    earring-and-necklace-sets	147
        earring-and-pendant-necklace-sets	148

    earring-and-pendant-sets	149
    earring-necklace-and-ring-sets	150
    earring-sets	151
    watch-and-bracelet-sets	152
    wedding-ring-sets	153

loose-gemstones	154
rosary-beads	155
shirt-studs	156
strands-of-beads	157

tie-clips	158
    tie-bars	159
    tie-chains	160
    tie-pins	161

Rings	optgroup

jewelry-sets	162
    earring-necklace-and-ring-sets	163
    wedding-ring-sets	164

rings	165
    anniversary-rings	166
    bands	167

        wedding-bands	168

    class-rings	169
    engagement-rings	170
    promise-rings	171
    right-hand-rings	172
    signet-rings	173
    thumb-rings	174
    toe-rings	175

Watches	optgroup

jewelry-boxes	176

    jewelry-keepsake-boxes	177
    jewelry-music-boxes	178

watch-accessories	179
    automatic-watch-winders	180
    pocket-watch-chains	181
    watch-batteries	182
    watch-repair-kits	183
    watch-repair-tools	184
    watch-storage-cases	185
    watchbands	186

watch-and-bracelet-sets	187

watches	188
    casual-watches	189
    collectible-watches	190
    dress-watches	191
    pocket-watches	192

    sport-watches	193
        coach-and-referee-stopwatches	194
        diving-watches	195

    stopwatches	196
