v_products_model	v_products_name_1	v_products_description_1	v_products_url_1	v_products_short_1	v_products_seo_url_1	v_products_info_title_1	v_products_info_desc_1	v_products_head_title_tag_1	v_products_head_desc_tag_1	v_products_head_keywords_tag_1	v_products_image	v_products_mpn	v_products_gtin	v_products_price1	v_products_price2	v_products_price3	v_products_price4	v_products_price5	v_products_price6	v_products_price7	v_products_price8	v_products_price1_qty	v_products_price2_qty	v_products_price3_qty	v_products_price4_qty	v_products_price5_qty	v_products_price6_qty	v_products_price7_qty	v_products_price8_qty	v_products_qty_blocks	v_products_special	v_products_featured_until	v_products_featured	v_vendors_id	v_map_price	v_msrp_price	v_pSortOrder	v_product_image_2	v_product_image_3	v_product_image_4	v_product_image_5	v_product_image_6	v_products_price	v_products_quantity	v_products_weight	v_date_avail	v_date_added	v_categories_image_1	v_categories_name_1_1	v_categories_image_2	v_categories_name_2_1	v_categories_image_3	v_categories_name_3_1	v_categories_image_4	v_categories_name_4_1	v_categories_image_5	v_categories_name_5_1	v_categories_image_6	v_categories_name_6_1	v_categories_image_7	v_categories_name_7_1	v_manufacturers_name	v_specials_new_products_price	v_attribute_options_id_1	v_attribute_options_name_1_1	v_attribute_values_id_1_1	v_attribute_values_name_1_1_1	v_attribute_values_price_1_1	v_attribute_values_stock_1_1	v_attribute_values_id_1_2	v_attribute_values_name_1_2_1	v_attribute_values_price_1_2	v_attribute_values_stock_1_2	v_attribute_values_id_1_3	v_attribute_values_name_1_3_1	v_attribute_values_price_1_3	v_attribute_values_stock_1_3	v_attribute_options_id_2	v_attribute_options_name_2_1	v_attribute_values_id_2_1	v_attribute_values_name_2_1_1	v_attribute_values_price_2_1	v_attribute_values_stock_2_1	v_attribute_values_id_2_2	v_attribute_values_name_2_2_1	v_attribute_values_price_2_2	v_attribute_values_stock_2_2	v_attribute_values_id_2_3	v_attribute_values_name_2_3_1	v_attribute_values_price_2_3	v_attribute_values_stock_2_3	v_attribute_values_id_2_4	v_attribute_values_name_2_4_1	v_attribute_values_price_2_4	v_attribute_values_stock_2_4	v_attribute_values_id_2_5	v_attribute_values_name_2_5_1	v_attribute_values_price_2_5	v_attribute_values_stock_2_5	v_attribute_values_id_2_6	v_attribute_values_name_2_6_1	v_attribute_values_price_2_6	v_attribute_values_stock_2_6	v_attribute_values_id_2_7	v_attribute_values_name_2_7_1	v_attribute_values_price_2_7	v_attribute_values_stock_2_7	v_attribute_options_id_3	v_attribute_options_name_3_1	v_attribute_values_id_3_1	v_attribute_values_name_3_1_1	v_attribute_values_price_3_1	v_attribute_values_stock_3_1	v_attribute_values_id_3_2	v_attribute_values_name_3_2_1	v_attribute_values_price_3_2	v_attribute_values_stock_3_2	v_attribute_options_id_4	v_attribute_options_name_4_1	v_attribute_values_id_4_1	v_attribute_values_name_4_1_1	v_attribute_values_price_4_1	v_attribute_values_stock_4_1	v_attribute_values_id_4_2	v_attribute_values_name_4_2_1	v_attribute_values_price_4_2	v_attribute_values_stock_4_2	v_attribute_values_id_4_3	v_attribute_values_name_4_3_1	v_attribute_values_price_4_3	v_attribute_values_stock_4_3	v_attribute_values_id_4_4	v_attribute_values_name_4_4_1	v_attribute_values_price_4_4	v_attribute_values_stock_4_4	v_attribute_values_id_4_5	v_attribute_values_name_4_5_1	v_attribute_values_price_4_5	v_attribute_values_stock_4_5	v_attribute_options_id_5	v_attribute_options_name_5_1	v_attribute_values_id_5_1	v_attribute_values_name_5_1_1	v_attribute_values_price_5_1	v_attribute_values_stock_5_1	v_attribute_values_id_5_2	v_attribute_values_name_5_2_1	v_attribute_values_price_5_2	v_attribute_values_stock_5_2	v_attribute_values_id_5_3	v_attribute_values_name_5_3_1	v_attribute_values_price_5_3	v_attribute_values_stock_5_3	v_attribute_options_id_6	v_attribute_options_name_6_1	v_attribute_values_id_6_1	v_attribute_values_name_6_1_1	v_attribute_values_price_6_1	v_attribute_values_stock_6_1	v_attribute_values_id_6_2	v_attribute_values_name_6_2_1	v_attribute_values_price_6_2	v_attribute_values_stock_6_2	v_attribute_values_id_6_3	v_attribute_values_name_6_3_1	v_attribute_values_price_6_3	v_attribute_values_stock_6_3	v_attribute_values_id_6_4	v_attribute_values_name_6_4_1	v_attribute_values_price_6_4	v_attribute_values_stock_6_4	v_attribute_values_id_6_5	v_attribute_values_name_6_5_1	v_attribute_values_price_6_5	v_attribute_values_stock_6_5	v_attribute_options_id_7	v_attribute_options_name_7_1	v_attribute_values_id_7_1	v_attribute_values_name_7_1_1	v_attribute_values_price_7_1	v_attribute_values_stock_7_1	v_attribute_values_id_7_2	v_attribute_values_name_7_2_1	v_attribute_values_price_7_2	v_attribute_values_stock_7_2	v_attribute_values_id_7_3	v_attribute_values_name_7_3_1	v_attribute_values_price_7_3	v_attribute_values_stock_7_3	v_products_car_make_1	v_products_car_model_1	v_products_car_year_bof_1	v_products_car_year_eof_1	v_products_car_make_2	v_products_car_model_2	v_products_car_year_bof_2	v_products_car_year_eof_2	v_tax_class_title	v_products_ship_zip	v_products_ship_price	v_products_ship_price_two	v_status	EOREOR
fgggdgd	Cal Test							Cal Test	Cal Test	Cal Test				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	1	0	0	0						450	4	0	0000-00-00 00:00:00	2013-03-25 12:18:15	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--		42		Active	EOREOR
XWWEEXBERTr18473	Product with download attached			"<p>   <img alt="""" src=""/images/cartstore.jpg"" style=""width: 194px; height: 80px; float: right;"" />Did you know you can also put html in the short description area using the built in ckeditor?</p><div class=""clear""></div>"				Product with download attached	Product with download attached	Product with download attached	560000061ext3.jpg		232DDDD5454567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	0	0	0	560000061ext2.jpg					9.95	1105	0.5		2013-03-09 22:53:55	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No	0		282	wwww											--none--				Active	EOREOR
	Product with average ship to / processingdays defined					6		Product with average ship to / processingdays defined	Product with average ship to / processingdays defined	Product with average ship to / processingdays defined	little-red-wagon.jpg			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	0	0	0	pigeon.jpg					0	1111	0		2013-03-09 22:47:57	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons									CustomGrafixTireCovers ™		18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--				Active	EOREOR
IND01	Product with individual shipping					6		Product with individual shipping	Product with individual shipping	Product with individual shipping	cartstore_oscommerce_left.jpg			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	0	0	0						99	1107	0		2013-03-09 22:45:54	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--		40	12	Active	EOREOR
XXXRREC156434	Product with year make model varibles							Product with year make model varibles	Product with year make model varibles	Product with year make model varibles				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	0	0	0						111	1109	0		2013-03-09 22:44:36	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww			Ford	Mustang	2001	2005					--none--				Active	EOREOR
XWWXBERTr18473	Product with no image							Product with no image	Product with no image	Product with no image				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	0	0	0						122	1110	0.5		2013-03-09 22:43:14	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--				Active	EOREOR
XXXBERTr18473	Product with no price added							Product with no price added	Product with no price added	Product with no price added	cartstore_oscommerce_left.jpg			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	0	0	0						0	1111	0.5		2013-03-09 22:41:13	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--				Active	EOREOR
XXXBC156434	Product with product extra fields	<p>   Lorem ipsum is just dummy text.</p>		<p>   Add a short description here...</p>				Product with product extra fields	Product with product extra fields	Product with product extra fields	43459304.jpg			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	0	0	0	11525.01.jpg					79	1110	0.5		2013-03-09 22:39:21	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--				Active	EOREOR
XXXBC348434	Sample Product with MAP Pricing	<p>   Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.</p>		<p>   Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.</p>				Sample Product with MAP Pricing	Sample Product with MAP Pricing	Sample Product with MAP Pricing	wagons-beepbeepzoom.jpg	999545464454383000		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2014/03/10	0	1	149.95	179.95	0	cartstore.jpg	little-red-wagon.jpg				99	109	0		2013-03-09 22:34:42	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons											18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--				Active	EOREOR
XXXBC184564	Test Product Special	<p>   Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of &quot;de Finibus Bonorum et Malorum&quot; (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, &quot;Lorem ipsum dolor sit amet..&quot;, comes from a line in section 1.10.32.</p>		<p>   (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, &quot;Lorem ipsum dolor sit amet..&quot;, comes from a line in section 1.10.32.</p>				Test Product Special	Test Product Special	Test Product Special	cartstore_oscommerce_left.jpg		232435454567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	1	0	0	0	red_wagon(3).jpg					1785	1095	0.5		2013-03-09 00:41:04	cartstore_oscommerce_left.jpg	Sample Category	wagons-beepbeepzoom.jpg	Sub Category 1	iStock_000003553750XSmall.jpg	Wagons										999	18	(Alteration) Tread-Width	140	8-inch or less			141	8-inch to 10-inch			152	NOT APPLICABLE			21	(Alteration) Over-Size Diameter	147	"27""-30"""			148	"Yes 32"""			149	"Yes 33"""			150	"Yes 34"""			151	"Yes 35"""			162	"Yes 31"""			279	testing			24	Pick Color	157	White			160	Red			25	Side Band Width=b	183	"2"""			184	"4"""			260	8 in. or less			261	More than 8 in.			266	No elestic for stapling on			26	Add Ladies T-Shirt	185	Yes (Large)			186	No			191	Yes (Mediun)			27	Download a File	187	Yes (Large)			188	No			192	Yes (Mediun)			280	no way			281	file			28	TESTER DOWNLOAD	193	Yes			194	No			282	wwww											--none--				Active	EOREOR
